Número 		 |		Tiempo que le tomó
    81573		 | 		233287
    7830		 | 		233742
    65234		 | 		234172
    3202		 | 		234626
    13820		 | 		235067
    43237		 | 		235512
    3577		 | 		235965
    46987		 | 		236398
    7581		 | 		238009
    72662		 | 		238460
    23605		 | 		238920
    62868		 | 		239356
    1672		 | 		239800
    64791		 | 		240233
    18655		 | 		240687
    29223		 | 		241133
    35882		 | 		241607
    49838		 | 		242066
    33316		 | 		242523
    79938		 | 		242985
    44330		 | 		243420
    93381		 | 		243864
    13563		 | 		244296
    98687		 | 		244742
    71900		 | 		245178
    21636		 | 		245623
    10944		 | 		246055
    65829		 | 		246491
    47739		 | 		248051
    432		 | 		248483
    71771		 | 		248928
    45664		 | 		249369
    8262		 | 		249815
    53356		 | 		250251
    48865		 | 		250701
    22081		 | 		251133
    12944		 | 		251576
    68793		 | 		252177
    85419		 | 		252632
    20524		 | 		253063
    41455		 | 		253499
    9023		 | 		253959
    99743		 | 		254396
    59478		 | 		254833
    90166		 | 		255270
    18397		 | 		255715
    88700		 | 		256156
    42399		 | 		256586
    84586		 | 		258196
    38367		 | 		258972
    22337		 | 		259403
    45268		 | 		259841
    48099		 | 		260279
    52251		 | 		260724
    43954		 | 		261156
    19999		 | 		261602
    73886		 | 		262071
    54898		 | 		262511
    85827		 | 		262971
    37976		 | 		263421
    55329		 | 		263866
    73950		 | 		264298
    83639		 | 		264745
    63590		 | 		265177
    27305		 | 		265647
    48855		 | 		266116
    2022		 | 		266559
    40249		 | 		268132
    17648		 | 		268583
    87440		 | 		269025
    77124		 | 		269460
    75454		 | 		269908
    12815		 | 		270350
    76867		 | 		270789
    51283		 | 		271223
    19332		 | 		271661
    11615		 | 		272106
    56334		 | 		272541
    61730		 | 		272996
    96201		 | 		273427
    94701		 | 		273926
    84066		 | 		274331
    57820		 | 		274768
    42799		 | 		275212
    36316		 | 		275657
    1773		 | 		276095
    62797		 | 		276531
    26553		 | 		278166
    73022		 | 		278656
    64976		 | 		279063
    80881		 | 		279498
    28351		 | 		279960
    55277		 | 		280394
    80871		 | 		280838
    8292		 | 		281274
