Número 		 |		Tiempo que le tomó
    842		 | 		33695
    411		 | 		33738
    211		 | 		33775
    860		 | 		33818
    638		 | 		33861
    830		 | 		33898
    35		 | 		33935
    815		 | 		33972
    514		 | 		34012
    584		 | 		34057
    928		 | 		34101
    265		 | 		34146
    335		 | 		34209
    98		 | 		34247
    38		 | 		34291
    559		 | 		34335
    454		 | 		34378
    544		 | 		34415
    237		 | 		34476
    194		 | 		34526
    99		 | 		34583
    489		 | 		34631
    462		 | 		34676
    500		 | 		34713
    879		 | 		34749
    702		 | 		34794
    395		 | 		34838
    408		 | 		34875
    334		 | 		34912
    140		 | 		34956
    985		 | 		34996
    176		 | 		35040
    550		 | 		35085
    195		 | 		35122
    35		 | 		35170
    539		 | 		35228
    376		 | 		35276
    422		 | 		35313
    353		 | 		35357
    889		 | 		35394
    357		 | 		35431
    632		 | 		35475
    505		 | 		35519
    44		 | 		35556
    729		 | 		35592
    894		 | 		35629
    954		 | 		35666
    183		 | 		35711
    789		 | 		35754
    190		 | 		35799
    376		 | 		35836
    888		 | 		35873
    30		 | 		35916
    189		 | 		35953
    739		 | 		35991
    908		 | 		36032
    243		 | 		36069
    133		 | 		36105
    316		 | 		36152
    576		 | 		36200
    272		 | 		36244
    652		 | 		36288
    751		 | 		36325
    173		 | 		36369
    846		 | 		36406
    138		 | 		36454
    63		 | 		36490
    574		 | 		36535
    911		 | 		36571
    416		 | 		36608
    814		 | 		36651
    267		 | 		36688
    399		 | 		36731
    671		 | 		36780
    662		 | 		36830
    128		 | 		36874
    564		 | 		36959
    616		 | 		37035
    310		 | 		37085
    353		 | 		37123
    805		 | 		37204
    37		 | 		37247
    592		 | 		37284
    187		 | 		37321
    226		 | 		37367
    330		 | 		37403
    94		 | 		37440
    468		 | 		37477
    462		 | 		37514
    761		 | 		37558
    43		 | 		37595
    85		 | 		37640
    412		 | 		37684
    146		 | 		37728
    609		 | 		37773
    610		 | 		37817
    635		 | 		37854
    671		 | 		37890
    183		 | 		37927
    545		 | 		37964
    438		 | 		38012
    348		 | 		38050
    163		 | 		38094
    837		 | 		38131
    18		 | 		41021
    825		 | 		41066
    964		 | 		41112
    582		 | 		41150
    792		 | 		41232
    625		 | 		41273
    286		 | 		41319
    596		 | 		41364
    661		 | 		41410
    877		 | 		41459
    134		 | 		41504
    238		 | 		41549
    206		 | 		41595
    228		 | 		41633
    57		 | 		41670
    19		 | 		41715
    340		 | 		41760
    100		 | 		41806
    455		 | 		41851
    104		 | 		41889
    597		 | 		41933
    63		 | 		41970
    713		 | 		42025
    231		 | 		42063
    85		 | 		42100
    247		 | 		42137
    127		 | 		42203
    523		 | 		42245
    946		 | 		42283
    641		 | 		42327
    711		 | 		42372
    964		 | 		42409
    817		 | 		42452
    26		 | 		42489
    897		 | 		42534
    608		 | 		42578
    650		 | 		42615
    182		 | 		42660
    556		 | 		42705
    662		 | 		42742
    58		 | 		42779
    689		 | 		42815
    252		 | 		42860
    615		 | 		42905
    268		 | 		42942
    308		 | 		42986
    985		 | 		43028
    960		 | 		43065
    759		 | 		43101
    439		 | 		43138
    63		 | 		43183
    355		 | 		43228
    501		 | 		43273
    127		 | 		43310
    937		 | 		43354
    585		 | 		43391
    725		 | 		43427
    415		 | 		43464
    459		 | 		43508
    670		 | 		43553
    408		 | 		43590
    169		 | 		43626
    985		 | 		43663
    224		 | 		43708
    194		 | 		43746
    881		 | 		43790
    184		 | 		43827
    195		 | 		43892
    62		 | 		43946
    91		 | 		43993
    857		 | 		44035
    471		 | 		44080
    779		 | 		44124
    108		 | 		44177
    437		 | 		44240
    399		 | 		44278
    767		 | 		44323
    421		 | 		44360
    358		 | 		44397
    526		 | 		44433
    859		 | 		44478
    772		 | 		44515
    880		 | 		44552
    711		 | 		44588
    250		 | 		44625
    169		 | 		44662
    648		 | 		44707
    326		 | 		44743
    583		 | 		44788
    106		 | 		44825
    995		 | 		44870
    990		 | 		44908
    275		 | 		44944
    332		 | 		44981
    566		 | 		45026
    820		 | 		45071
    212		 | 		45107
    749		 | 		45144
    15		 | 		45205
    626		 | 		45255
    839		 | 		45299
    223		 | 		45344
    448		 | 		45381
    969		 | 		45418
    682		 | 		45455
    237		 | 		45492
    719		 | 		45529
    448		 | 		45566
    9		 | 		45602
    76		 | 		45647
    973		 | 		45691
    868		 | 		45735
    199		 | 		45772
    205		 | 		45817
    930		 | 		45854
    800		 | 		45892
    373		 | 		45937
    577		 | 		45974
    125		 | 		46019
    955		 | 		46063
    683		 | 		46100
    472		 | 		46146
    297		 | 		46217
    309		 | 		46267
    803		 | 		46312
    862		 | 		46350
    128		 | 		46387
    14		 | 		46432
    610		 | 		46469
    494		 | 		46506
    991		 | 		46543
    800		 | 		46580
    716		 | 		46626
    439		 | 		46664
    768		 | 		46708
    749		 | 		46745
    27		 | 		46782
    487		 | 		46828
    197		 | 		46873
    35		 | 		46910
    914		 | 		46955
    521		 | 		47000
    254		 | 		47046
    465		 | 		47091
    725		 | 		47128
    184		 | 		47177
    264		 | 		47234
    97		 | 		47279
    112		 | 		47316
    741		 | 		47352
    404		 | 		47389
    146		 | 		47426
    212		 | 		47463
    700		 | 		47508
    454		 | 		47545
    14		 | 		47582
    913		 | 		47626
    934		 | 		47670
    379		 | 		47707
    874		 | 		47752
    427		 | 		47797
    370		 | 		47842
    673		 | 		47887
    495		 | 		47932
    160		 | 		47969
    792		 | 		48006
    595		 | 		48044
    538		 | 		48080
    630		 | 		48117
    791		 | 		48154
    572		 | 		48214
    896		 | 		48253
    664		 | 		48298
    826		 | 		48336
    712		 | 		48381
    388		 | 		48427
    9		 | 		48464
    975		 | 		48509
    837		 | 		48546
    472		 | 		48583
    715		 | 		48627
    240		 | 		48664
    618		 | 		48711
    278		 | 		48756
    291		 | 		48802
    71		 | 		48838
    291		 | 		48875
    555		 | 		48921
    356		 | 		48958
    22		 | 		49006
    428		 | 		49045
    135		 | 		49090
    743		 | 		49127
    452		 | 		49171
    981		 | 		52338
    254		 | 		52380
    243		 | 		52417
    575		 | 		52454
    791		 | 		52491
    225		 | 		52528
    366		 | 		52564
    362		 | 		52602
    120		 | 		52647
    29		 | 		52684
    187		 | 		52720
    831		 | 		52766
    768		 | 		52802
    547		 | 		52848
    157		 | 		52893
    604		 | 		52939
    19		 | 		52976
    224		 | 		53013
    195		 | 		53050
    636		 | 		53087
    501		 | 		53123
    837		 | 		53160
    58		 | 		53238
    144		 | 		53291
    391		 | 		53350
    414		 | 		53398
    165		 | 		53446
    170		 | 		53493
    548		 | 		53551
    907		 | 		53607
    621		 | 		53664
    880		 | 		53713
    160		 | 		53760
    216		 | 		53818
    454		 | 		53872
    302		 | 		53925
    440		 | 		53973
    171		 | 		54020
    663		 | 		54066
    911		 | 		54103
    199		 | 		54140
    850		 | 		54221
    741		 | 		54284
    319		 | 		54343
    748		 | 		54406
    249		 | 		54458
    274		 | 		54495
    766		 | 		54533
    472		 | 		54569
    469		 | 		54615
    401		 | 		54652
    325		 | 		54689
    657		 | 		54725
    811		 | 		54763
    468		 | 		54799
    400		 | 		54836
    224		 | 		54873
    984		 | 		54909
    569		 | 		54946
    123		 | 		54983
    242		 | 		55029
    542		 | 		55075
    2		 | 		55112
    753		 | 		55148
    757		 | 		55214
    455		 | 		55256
    54		 | 		55294
    196		 | 		55341
    626		 | 		55378
    716		 | 		55415
    106		 | 		55452
    176		 | 		55489
    917		 | 		55534
    198		 | 		55571
    494		 | 		55609
    665		 | 		55646
    446		 | 		55683
    768		 | 		55719
    430		 | 		55767
    270		 | 		55813
    588		 | 		55860
    183		 | 		55897
    594		 | 		55934
    596		 | 		55971
    993		 | 		56021
    413		 | 		56067
    995		 | 		56104
    568		 | 		56140
    396		 | 		56203
    916		 | 		56253
    690		 | 		56291
    637		 | 		56338
    457		 | 		56385
    43		 | 		56422
    389		 | 		56468
    213		 | 		56514
    497		 | 		56560
    442		 | 		56606
    760		 | 		56643
    474		 | 		56680
    509		 | 		56726
    217		 | 		56763
    2		 | 		56800
    426		 | 		56837
    766		 | 		56874
    847		 | 		56911
    90		 | 		56958
    211		 | 		56997
