Comienza a insertar valores
Número 		 |		Tiempo que le tomó
    1661		 | 		117281
    3675		 | 		117531
    7778		 | 		117849
    5596		 | 		118104
    898		 | 		118354
    3756		 | 		118600
    7237		 | 		118839
    4598		 | 		118911
    7524		 | 		118982
    4016		 | 		119050
    9559		 | 		119118
    6929		 | 		119186
    9717		 | 		119251
    577		 | 		119318
    271		 | 		119387
    9090		 | 		119453
    5900		 | 		119522
    176		 | 		119588
    1070		 | 		119655
    4708		 | 		119759
    2375		 | 		120026
    9902		 | 		120275
    5148		 | 		120536
    8430		 | 		120737
    6451		 | 		120822
    2957		 | 		120890
    6979		 | 		120957
    4933		 | 		121027
    9805		 | 		121094
    7594		 | 		121161
    885		 | 		121229
    1465		 | 		121326
    1268		 | 		121438
    8662		 | 		121599
    7061		 | 		121676
    8517		 | 		121745
    8769		 | 		121812
    649		 | 		121893
    3114		 | 		121961
    6292		 | 		122033
    1016		 | 		122103
    2672		 | 		122202
    9572		 | 		122404
    732		 | 		122496
    3248		 | 		122758
    9842		 | 		123014
    9822		 | 		123185
    5500		 | 		123281
    17		 | 		123526
    7243		 | 		123788
    207		 | 		124045
    8744		 | 		124275
    7144		 | 		124347
    1706		 | 		124496
    3525		 | 		124567
    3594		 | 		124635
    1014		 | 		124703
    6856		 | 		124799
    4879		 | 		125052
    818		 | 		125312
    4449		 | 		125541
    5763		 | 		125613
    8635		 | 		125696
    2068		 | 		125774
    776		 | 		125843
    2047		 | 		125912
    585		 | 		125980
    9544		 | 		126074
    2695		 | 		126352
    50		 | 		126622
    2187		 | 		126781
    3711		 | 		126874
    2722		 | 		127131
    1759		 | 		127373
    794		 | 		127608
    2321		 | 		127845
    1600		 | 		128080
    6967		 | 		128318
    7820		 | 		128555
    7969		 | 		128787
    4209		 | 		129016
    4378		 | 		129265
    3064		 | 		129505
    7705		 | 		129744
    2436		 | 		129977
    2940		 | 		130213
    1298		 | 		130450
    3449		 | 		130693
    9795		 | 		130928
    2528		 | 		131199
    619		 | 		131454
    595		 | 		131795
    4642		 | 		132051
    9253		 | 		132286
    9015		 | 		132526
