Comienza a insertar valores
Número 		 |		Tiempo que le tomó
    644		 | 		34086
    804		 | 		34155
    967		 | 		34236
    741		 | 		34307
    500		 | 		34376
    352		 | 		34444
    138		 | 		34515
    520		 | 		34587
    3		 | 		34654
    460		 | 		34722
    674		 | 		34791
    744		 | 		34856
    45		 | 		34924
    920		 | 		34992
    270		 | 		35059
    101		 | 		35130
    575		 | 		35201
    56		 | 		35273
    889		 | 		35350
    137		 | 		35420
    748		 | 		35490
    30		 | 		35558
    808		 | 		35624
    77		 | 		35700
    304		 | 		35771
    157		 | 		35839
    873		 | 		35907
    903		 | 		35980
    340		 | 		36049
    718		 | 		36118
    615		 | 		36189
    984		 | 		36258
    521		 | 		36325
    582		 | 		36395
    76		 | 		36462
    373		 | 		36537
    285		 | 		36613
    565		 | 		36685
    244		 | 		36757
    287		 | 		36824
    376		 | 		36896
    917		 | 		36963
    31		 | 		37030
    420		 | 		37100
    836		 | 		37176
    300		 | 		37247
    521		 | 		37316
    762		 | 		37383
    707		 | 		37452
    761		 | 		37518
    251		 | 		37588
    454		 | 		37663
    142		 | 		37732
    58		 | 		37798
    530		 | 		37865
    797		 | 		37933
    215		 | 		38006
    755		 | 		38072
    699		 | 		38138
    906		 | 		38206
    824		 | 		38279
    313		 | 		38347
    889		 | 		38416
    697		 | 		38483
    894		 | 		38551
    965		 | 		38617
    69		 | 		38688
    179		 | 		38757
    881		 | 		38826
    664		 | 		38896
    817		 | 		38968
    257		 | 		39040
    580		 | 		39117
    847		 | 		39187
    676		 | 		39262
    415		 | 		39329
    498		 | 		39418
    548		 | 		39495
    177		 | 		39578
    556		 | 		39647
    308		 | 		39718
    427		 | 		39786
    361		 | 		39853
    801		 | 		39925
    836		 | 		39993
    243		 | 		40062
    597		 | 		40129
    50		 | 		40266
    997		 | 		40338
    295		 | 		40411
    956		 | 		40487
    820		 | 		40562
    608		 | 		40635
    196		 | 		40703
    516		 | 		40775
    853		 | 		40840
    512		 | 		40907
    936		 | 		40970
    383		 | 		41039
    393		 | 		41108
    599		 | 		41182
    200		 | 		41254
    649		 | 		41324
    530		 | 		41392
    398		 | 		41460
    676		 | 		41540
    945		 | 		41610
    248		 | 		41682
    224		 | 		41751
    473		 | 		41816
    155		 | 		41888
    883		 | 		41956
    251		 | 		42114
    516		 | 		42191
    684		 | 		42269
    86		 | 		42340
    758		 | 		42414
    280		 | 		42484
    488		 | 		42557
    754		 | 		42641
    575		 | 		42724
    795		 | 		42791
    925		 | 		42856
    534		 | 		42921
    990		 | 		42995
    793		 | 		43065
    738		 | 		43130
    502		 | 		43198
    80		 | 		43281
    121		 | 		43372
    246		 | 		43455
    31		 | 		43525
    672		 | 		43596
    246		 | 		43680
    560		 | 		43764
    421		 | 		43840
    921		 | 		43918
    504		 | 		43988
    20		 | 		44063
    496		 | 		44133
    328		 | 		44199
    175		 | 		44268
    379		 | 		44337
    578		 | 		44408
    690		 | 		44478
    62		 | 		44545
    664		 | 		44615
    447		 | 		44681
    693		 | 		44749
    503		 | 		44818
    552		 | 		44885
    619		 | 		44953
    297		 | 		45025
    828		 | 		45094
    152		 | 		45166
    286		 | 		45235
    620		 | 		45302
    242		 | 		45374
    139		 | 		45440
    52		 | 		45506
    362		 | 		45582
    736		 | 		45657
    82		 | 		45727
    385		 | 		45799
    981		 | 		45880
    641		 | 		45953
    157		 | 		46029
    254		 | 		46104
    497		 | 		46177
    177		 | 		46248
    749		 | 		46322
    824		 | 		46396
    351		 | 		46484
    127		 | 		46556
    754		 | 		46628
    392		 | 		46699
    540		 | 		46773
    769		 | 		46837
    190		 | 		46937
    233		 | 		47026
    271		 | 		47109
    741		 | 		47193
    851		 | 		47271
    567		 | 		47348
    920		 | 		47431
    355		 | 		47510
    204		 | 		47587
    892		 | 		47665
    596		 | 		47744
    695		 | 		47819
    943		 | 		47900
    309		 | 		47974
    430		 | 		48049
    24		 | 		48115
    693		 | 		48192
    763		 | 		48266
    664		 | 		48338
    849		 | 		48413
    16		 | 		48486
    512		 | 		48567
    377		 | 		48646
    116		 | 		48726
    336		 | 		48800
    79		 | 		48873
    595		 | 		48947
    89		 | 		49022
    470		 | 		49097
    134		 | 		49174
    857		 | 		49248
    659		 | 		49320
    366		 | 		49391
    479		 | 		49465
    751		 | 		49545
    569		 | 		49623
    45		 | 		49713
    23		 | 		49801
    923		 | 		49888
    248		 | 		49981
    914		 | 		50065
    518		 | 		50204
    294		 | 		50329
    856		 | 		50425
    826		 | 		50511
    724		 | 		50594
    231		 | 		50675
    870		 | 		50752
    486		 | 		50839
    894		 | 		50923
    718		 | 		51008
    853		 | 		51093
    406		 | 		51176
    95		 | 		51263
    968		 | 		51342
    93		 | 		51425
    173		 | 		51502
    914		 | 		51583
    533		 | 		51667
    995		 | 		51753
    48		 | 		51833
    741		 | 		51914
    5		 | 		51993
    765		 | 		52078
    219		 | 		52160
    108		 | 		52236
    333		 | 		52314
    263		 | 		52390
    130		 | 		52468
    607		 | 		52551
    862		 | 		52629
    43		 | 		52708
    124		 | 		52788
    156		 | 		52864
    250		 | 		52942
    301		 | 		53017
    231		 | 		53089
    480		 | 		53167
    170		 | 		53243
    68		 | 		53319
    725		 | 		53394
    240		 | 		53470
    920		 | 		53547
    130		 | 		53616
    686		 | 		53682
    239		 | 		53751
    574		 | 		53948
    210		 | 		54035
    153		 | 		54123
    106		 | 		54200
    556		 | 		54282
    552		 | 		54360
    846		 | 		54445
    561		 | 		54518
    316		 | 		54599
    64		 | 		54670
    668		 | 		54748
    1		 | 		54817
    678		 | 		54888
    797		 | 		54960
    607		 | 		55031
    540		 | 		55099
    191		 | 		55166
    83		 | 		55239
    47		 | 		55309
    440		 | 		55382
    383		 | 		55451
    277		 | 		55521
    919		 | 		55592
    905		 | 		55662
    344		 | 		55732
    643		 | 		55811
    496		 | 		55885
    615		 | 		55958
    125		 | 		56026
    181		 | 		56099
    205		 | 		56168
    50		 | 		56237
    742		 | 		56307
    709		 | 		56379
    156		 | 		56451
    298		 | 		56521
    260		 | 		56593
    353		 | 		56664
    210		 | 		56733
    928		 | 		56802
    769		 | 		56873
    877		 | 		56945
    928		 | 		57013
    446		 | 		57081
    25		 | 		57152
    886		 | 		57226
    337		 | 		57300
    567		 | 		57376
    968		 | 		57451
    383		 | 		57521
    6		 | 		57594
    703		 | 		57665
    11		 | 		57735
    276		 | 		57804
    607		 | 		57879
    354		 | 		58051
    918		 | 		58123
    102		 | 		58196
    320		 | 		58267
    394		 | 		58336
    634		 | 		58408
    525		 | 		58477
    444		 | 		58550
    727		 | 		58627
    233		 | 		58696
    951		 | 		58767
    24		 | 		58835
    493		 | 		58904
    655		 | 		58974
    585		 | 		59044
    420		 | 		59114
    423		 | 		59194
    461		 | 		59282
    699		 | 		59358
    221		 | 		59428
    837		 | 		59498
    584		 | 		59569
    557		 | 		59645
    403		 | 		59716
    552		 | 		59785
    292		 | 		59853
    760		 | 		59927
    606		 | 		59994
    302		 | 		60059
    35		 | 		60125
    212		 | 		60296
    8		 | 		60392
    305		 | 		60487
    665		 | 		60565
    327		 | 		60639
    50		 | 		60714
    650		 | 		60788
    851		 | 		60859
    493		 | 		60930
    376		 | 		61003
    436		 | 		61073
    795		 | 		61145
    752		 | 		61218
    280		 | 		61308
    450		 | 		61384
    336		 | 		61456
    51		 | 		61528
    872		 | 		61601
    149		 | 		61673
    749		 | 		61746
    92		 | 		61820
    337		 | 		61894
    684		 | 		61981
    1		 | 		62057
    92		 | 		62132
    587		 | 		62208
    292		 | 		62280
    851		 | 		62351
    192		 | 		62423
    945		 | 		62509
    886		 | 		62586
    403		 | 		62656
    952		 | 		62727
    542		 | 		62799
    419		 | 		62874
    631		 | 		62944
    591		 | 		63015
    420		 | 		63083
    833		 | 		63151
    436		 | 		63221
    796		 | 		63294
    268		 | 		63380
    230		 | 		63456
    899		 | 		63529
    547		 | 		63607
    31		 | 		63680
    586		 | 		63753
    597		 | 		63825
    903		 | 		63956
    734		 | 		64044
    345		 | 		64123
    346		 | 		64195
    423		 | 		64267
    381		 | 		64342
    698		 | 		64413
    514		 | 		64483
    967		 | 		64553
    989		 | 		64627
    364		 | 		64699
    159		 | 		64774
    286		 | 		64847
    601		 | 		64923
    913		 | 		64995
    237		 | 		65085
    142		 | 		65160
    684		 | 		65238
    867		 | 		65315
    733		 | 		65390
    103		 | 		65469
    700		 | 		65545
    168		 | 		65626
    898		 | 		65698
    319		 | 		65775
    397		 | 		65850
    148		 | 		65923
    866		 | 		65999
    428		 | 		66071
    734		 | 		66144
    462		 | 		66214
    682		 | 		66282
    819		 | 		66346
    159		 | 		66412
    379		 | 		66492
    241		 | 		66566
    539		 | 		66631
    429		 | 		66696
    754		 | 		66761
    857		 | 		66825
    769		 | 		66891
    118		 | 		66958
    15		 | 		67023
    54		 | 		67094
    70		 | 		67160
    928		 | 		67229
    643		 | 		67307
    212		 | 		67376
    611		 | 		67441
    509		 | 		67507
    944		 | 		67573
    65		 | 		67641
    560		 | 		67708
    463		 | 		67774
    315		 | 		67840
    231		 | 		67904
    211		 | 		67970
    462		 | 		68037
    96		 | 		68103
    990		 | 		68168
    195		 | 		68232
    909		 | 		68296
    23		 | 		68364
    366		 | 		68432
    419		 | 		68496
    402		 | 		68561
    606		 | 		68630
    309		 | 		68695
    182		 | 		68763
    712		 | 		68829
    166		 | 		68894
    950		 | 		68960
    181		 | 		69024
    180		 | 		69089
    4		 | 		69153
    250		 | 		69220
    459		 | 		69285
    646		 | 		69351
    461		 | 		69415
    421		 | 		69481
    506		 | 		69546
    756		 | 		69610
    486		 | 		69676
    418		 | 		69740
    218		 | 		69808
    800		 | 		69874
    648		 | 		69939
    429		 | 		70007
    613		 | 		70073
    95		 | 		70141
    418		 | 		70293
    160		 | 		70360
    3		 | 		70424
    793		 | 		70490
    525		 | 		70555
Le demoró: 70632 microsegundos en insertar 1000valores

