Comienza a insertar valores
Número 		 |		Tiempo que le tomó
    903		 | 		23780
    98		 | 		23818
    697		 | 		23855
    386		 | 		23892
    45		 | 		23929
    668		 | 		23966
    299		 | 		24003
    323		 | 		24041
    803		 | 		24079
    742		 | 		24116
    234		 | 		24153
    895		 | 		24190
    526		 | 		24228
    57		 | 		24265
    655		 | 		24309
    435		 | 		24347
    788		 | 		24384
    563		 | 		24421
    693		 | 		24457
    790		 | 		24495
    320		 | 		24532
    978		 | 		24574
    923		 | 		24615
    350		 | 		24652
    797		 | 		24690
    248		 | 		24728
    832		 | 		24765
    494		 | 		24811
    713		 | 		24852
    644		 | 		24890
    804		 | 		24928
    967		 | 		24966
    741		 | 		25004
    500		 | 		25041
    352		 | 		25079
    138		 | 		25117
    520		 | 		25155
    3		 | 		25193
    460		 | 		25231
    674		 | 		25268
    744		 | 		25306
    45		 | 		25343
    920		 | 		25381
    270		 | 		25419
    101		 | 		25456
    575		 | 		25494
    56		 | 		25531
    889		 | 		25569
    137		 | 		25607
    748		 | 		25645
    30		 | 		25683
    808		 | 		25741
    77		 | 		25814
    304		 | 		25880
    157		 | 		25921
    873		 | 		25959
    903		 | 		25997
    340		 | 		26035
    718		 | 		26073
    615		 | 		26115
    984		 | 		26160
    521		 | 		26223
    582		 | 		26297
    76		 | 		26343
    373		 | 		26384
    285		 | 		26423
    565		 | 		26462
    244		 | 		26506
    287		 | 		26544
    376		 | 		26587
    917		 | 		26626
    31		 | 		26664
    420		 | 		26701
    836		 | 		26742
    300		 | 		26781
    521		 | 		28098
    762		 | 		28142
    707		 | 		28182
    761		 | 		28241
    251		 | 		28303
    454		 | 		28370
    142		 | 		28411
    58		 | 		28450
    530		 | 		28488
    797		 | 		28527
    215		 | 		28583
    755		 | 		28627
    699		 | 		28669
    906		 | 		28729
    824		 | 		28775
    313		 | 		28831
    889		 | 		28889
    697		 | 		28932
    894		 | 		28970
    965		 | 		29009
    69		 | 		29047
    179		 | 		29084
    881		 | 		29122
    664		 | 		29160
    817		 | 		29199
    257		 | 		29236
    580		 | 		29274
    847		 | 		29312
    676		 | 		29350
    415		 | 		29388
    498		 | 		29426
    548		 | 		29463
    177		 | 		29501
    556		 | 		29539
    308		 | 		29576
    427		 | 		29615
    361		 | 		29652
    801		 | 		29691
    836		 | 		29728
    243		 | 		29766
    597		 | 		29816
    50		 | 		29860
    997		 | 		29900
    295		 | 		29939
    956		 | 		29979
    820		 | 		30017
    608		 | 		30055
    196		 | 		30093
    516		 | 		30131
    853		 | 		30169
    512		 | 		30207
    936		 | 		30245
    383		 | 		30282
    393		 | 		30320
    599		 | 		30358
    200		 | 		30396
    649		 | 		30434
    530		 | 		30471
    398		 | 		30509
    676		 | 		30547
    945		 | 		30585
    248		 | 		30623
    224		 | 		30661
    473		 | 		30698
    155		 | 		30736
    883		 | 		30774
    251		 | 		30822
    516		 | 		30866
    684		 | 		30908
    86		 | 		30949
    758		 | 		30988
    280		 | 		31026
    488		 | 		31064
    754		 | 		31101
    575		 | 		31140
    795		 | 		31179
    925		 | 		31217
    534		 | 		31256
    990		 | 		31293
    793		 | 		31331
    738		 | 		31369
    502		 | 		31413
    80		 | 		31453
    121		 | 		31492
    246		 | 		31532
    31		 | 		31570
    672		 | 		31608
    246		 | 		31646
    560		 | 		31683
    421		 | 		31721
    921		 | 		31759
    504		 | 		31803
    20		 | 		31858
    496		 | 		31898
    328		 | 		31936
    175		 | 		31975
    379		 | 		32013
    578		 | 		32051
    690		 | 		32089
    62		 | 		32127
    664		 | 		32165
    447		 | 		32202
    693		 | 		32240
    503		 | 		32300
    552		 | 		32344
    619		 | 		32383
    297		 | 		32420
    828		 | 		32458
    152		 | 		32496
    286		 | 		32533
    620		 | 		32571
    242		 | 		32609
    139		 | 		32646
    52		 | 		32684
    362		 | 		32722
    736		 | 		32761
    82		 | 		32803
    385		 | 		32847
    981		 | 		32886
    641		 | 		32924
    157		 | 		32962
    254		 | 		32999
    497		 | 		33037
    177		 | 		33075
    749		 | 		33112
    824		 | 		33150
    351		 | 		33188
    127		 | 		33226
    754		 | 		33264
    392		 | 		33302
    540		 | 		33340
    769		 | 		33378
    190		 | 		33416
    233		 | 		33453
    271		 | 		33491
    741		 | 		33528
    851		 | 		33566
    567		 | 		33605
    920		 | 		33643
    355		 | 		33680
    204		 | 		33718
    892		 | 		33755
    596		 | 		33793
    695		 | 		33844
    943		 | 		33882
    309		 | 		33919
    430		 | 		33957
    24		 | 		33995
    693		 | 		34032
    763		 | 		34070
    664		 | 		34109
    849		 | 		34146
    16		 | 		34183
    512		 | 		34226
    377		 | 		34265
    116		 | 		34302
    336		 | 		34340
    79		 | 		34377
    595		 | 		34415
    89		 | 		34452
    470		 | 		34489
    134		 | 		34527
    857		 | 		34568
    659		 | 		34607
    366		 | 		34644
    479		 | 		34682
    751		 | 		34721
    569		 | 		34758
    45		 | 		34799
    23		 | 		34848
    923		 | 		34887
    248		 | 		34925
    914		 | 		34962
    518		 | 		35000
    294		 | 		35037
    856		 | 		35076
    826		 | 		35113
    724		 | 		35164
    231		 | 		35257
    870		 | 		35328
    486		 | 		35371
    894		 | 		35410
    718		 | 		35448
    853		 | 		35487
    406		 | 		35525
    95		 | 		35576
    968		 | 		35620
    93		 | 		35664
    173		 | 		35713
    914		 | 		35765
    533		 | 		35830
    995		 | 		35892
    48		 | 		35932
    741		 | 		35971
    5		 | 		36008
    765		 | 		36046
    219		 | 		36084
    108		 | 		36122
    333		 | 		36160
    263		 | 		36197
    130		 | 		36235
    607		 | 		36273
    862		 | 		36312
    43		 | 		36350
    124		 | 		36387
    156		 | 		36425
    250		 | 		36462
    301		 | 		36500
    231		 | 		36537
    480		 | 		36578
    170		 | 		36615
    68		 | 		36653
    725		 | 		36690
    240		 | 		36727
    920		 | 		36765
    130		 | 		36809
    686		 | 		38188
    239		 | 		38231
    574		 | 		38269
    210		 | 		38307
    153		 | 		38345
    106		 | 		38382
    556		 | 		38421
    552		 | 		38458
    846		 | 		38495
    561		 | 		38533
    316		 | 		38570
    64		 | 		38608
    668		 | 		38646
    1		 | 		38683
    678		 | 		38720
    797		 | 		38758
    607		 | 		38796
    540		 | 		38853
    191		 | 		38892
    83		 | 		38929
    47		 | 		38967
